Mint,Owner,Note
JE9axhfegSTrA47JXCaeVkga235Eamj38NdpSrLGyEFo,HbmrQCVNSxYbXjjHNCtfyyt2SNB1t1nGiCCcKAvEj7nF,
JE8CmwfjGEGYKr4Ed8xH9TQsRTrs3F8JxJXVga4tzwVn,Fa8TzVCkeQd7ZMcGNZEvC3kvSKtxMymdv1gCVZoPexuW,
JE3ysoBmPZzikzueXJ18NsMrArz6nqtrcUeAza4TPsxn,JCjCRUJ4YWeoW3TsH8ec6FuLwnEmwz4XZM41yqgW2Xtu,listed:magic-eden
JDuwxUj7r6CuryzxMXYrugbJEtnkou7aT5VifdzPzSz5,FYW4Ek1K9BhKrZNkNVDgVv6Z6e3Myjur2Xcj5j7o5qzR,
JDu3b8inow8t34Zm3RRt5xQ8v86u45QuN4S5HRbM3YX1,aumuHzMdUFiFCvJ7kk1djU4CViSzxJk3FjXTXgvdNZn,
JDSW9Rb1JT5ovepP1QwHCuppCvK8zVKuUxxPwXkecx8m,Hfvi411tTZfqENEnmc7jFSnV7SRZ3iHt2cYhWzXySLqj,
JDDZj71jnmr2rmpaoCXH7dH3KomSEFhMz3p1s5dznVJt,5wceam6f3i2PNykKQkomeord2dhxsmyTEaEFxVLVaegM,syncspace
JDAToVaSpt9Qg3FwNXh74SMQuXt9oV4ZYYdDfLCfnd3F,G43e2oSgeTEaxN3vc9iCKUg2AXaNhfs6KtRwoxgZ6qdP,
JCwkzGAYPPaV6wcWpqHeen68rgrzNmQX2uZut8E4unT6,aumuHzMdUFiFCvJ7kk1djU4CViSzxJk3FjXTXgvdNZn,
JCvMHCHEweua1Rn6tYmksxyxGav7BKxSXychhfDNp6Zd,auryHMdwKGnjU4ZBjtacvARm8DcAVgEzYDzzJvVFfE8,
JCuzzhKsqRNdCjsgUG2qRm6s5DBqAW58zdnB78c2Wqci,EeobBmxX9ovhFWW97jmxvzyZWtjGQSzBZjw1WhQictfj,syncspace
JCt56QPhQo7CXrFUNCSPZJf4DqjWLotdw2GRgPDiLFc3,61Vf3TL99ygS884JR63uZQsZajWvgaUfK4Wt5ocTt3GU,syncspace
JChW1Edcwc3G26or6KMrcFvxyEh3CRSzooBhKTH3f8if,E6MafktJ79ksKBG3uJDReR3pWNq3rLJTPQ3VpVs9UoTU,
JCfTMdAej9vuMNRVfGYPoMHViDSmYHhg83RvBVWJaTCz,5k15YfLg5TmTeVUAuxpQgK4r3Dzuu9ce6RwmKUdtDXYH,syncspace
JCa46EpJMer3S9AFJyDtU4qkMw4feKS79qwk75ngu5eq,2jYXgz5Af7Gk1dFryRLdvWvC7RrAQsrsJMowEVSwdUJG,
JCXooxU444Qmwxsj1TYP7jGEdTCXBNtpUnfRQAKMFDTE,eChU1NZZRNn6xiNYHx6as2Cc4ZNczJSr93YWesDz6CV,syncspace
JCWDna1uTkf1BeJFZGk8LFBBdgei7eW3VmPmHSj8LME4,6gK9EMCD8PP8w4ctxMcunrKUqnMy5Gr8T3sd8LspL1uW,syncspace
JCU8YG4w6y64yp65gUgT1h7wpYdmDL7VHb3Az7ahXASN,8NMcGCy6vYGY29bSnKjXszBMpre964oenWtPBDqTF8GF,
JCKH5xzGSSAB8ATWZs8V4eXHXhUXnR9P5kbnZhTx3YfX,BszMTsYVnPoHVQYN2kEnDP6gk8gcSBEMTD3DWDftxQi3,
JBz3UtXdTS9digk63oL4F79iM9L7T2TsZA3589qYYhbN,2Ga6hzy12f7oFvS1zSYvUmvA5fLWiNP9ep5q4NdruTci,syncspace
JBxxKe1Z6eiD9Spu6NgGyoxzvTC4jCNGScf9APEmVxAk,AsV63CRkoUxRFNrBkrjV1CTGBwK9sWGRjpYV31DBAdQR,syncspace
JBsx5x62e3kHpivkH7KFMnJDzuRvXm6GBUi7MkJAKGys,7RoKM858zTrqVkjMhohzmSBk2RRD1M6MmcaNuy5pT7Lf,
