V1Mint,CoreAsset,Aurorian,MintedAtUTC,MintedBy,MinterType,CandyMachine,HoursBeforePublicSale,V1OwnerNow,CoreOwnerNow,CoreOwnerType,CoreStatus,Note
7PuB1jc4rpT1FNvwbpp7sMuYs6GAVNfZinBf7JsP4f8X,9cmWuKLUCUg56PaSENnrJ5QP6sDuY1DkHt1nLE5VNMGD,27,2021-08-30 06:00,CduMjFZLBeg3A9wMP3hQCoU1RQzzCpgSvQNXfCi1GCSB,external,main,33.0,6erKQrjX85WFqyMmHK1WW6ss6gm8rAY4DX4SfjFbdv4y,6erKQrjX85WFqyMmHK1WW6ss6gm8rAY4DX4SfjFbdv4y,holder,syncspace,Minted by an outside wallet 33.0h before public sale; NOT a team premint. Core has since left team custody.
J4Y2dtEQaaRjwxgfq9jgnBqwZGLgSAuJr9epVfkSWDYc,DUM6SkQJT69sszK7Zh5cngpL5g8HsCP8i9m1nA4p9znJ,221,2021-08-30 06:06,44kiGWWsSgdqPMvmqYgTS78Mx2BKCWzduATkfY4biU97,external,main,32.9,jShGdWowkmMQDQbfaYhNT85YV9PZ4NJEioJcgH87DPF,jShGdWowkmMQDQbfaYhNT85YV9PZ4NJEioJcgH87DPF,holder,free,Minted by an outside wallet 32.9h before public sale; NOT a team premint. Core has since left team custody.
A1Zg7j25zvjZCEdXCUxxrrF9Epzt6iHaqjs8QKEQHtYb,33AmMhHn6jLVW1U1xtfKD2y4CmDNFD2FjGK4q5tVUyp1,234,2021-08-30 16:55,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,main,22.1,Cmj53MLXCbusTm2ahv7mPFm6UcfZqPMQrhw1ihdGtQWg,Cmj53MLXCbusTm2ahv7mPFm6UcfZqPMQrhw1ihdGtQWg,holder,free,Team-treasury premint 22.1h before public sale via main candy machine. Core has since left team custody.
CJFpxu54MYoAm7BeQ4WA9xCVqYctKjPzff7vw5F2oqDv,4hb1xqjVnwvbGhiFGQ5HyhgkhUqv5ZrUbwQyhmx9Wfur,308,2021-08-31 04:00,44kiGWWsSgdqPMvmqYgTS78Mx2BKCWzduATkfY4biU97,external,main,11.0,j5mc9g7wByMs3ShaVXMfkvA6mPK3wQoHLMqR7XVRVcX,De6xFAFpLRmrwfBRFZGNsKQ9bSrmeENShx3Qm9YhikVX,holder,syncspace,Minted by an outside wallet 11.0h before public sale; NOT a team premint. Core has since left team custody.
3HbuU6gtAbfGaMZHYvctNvSZspUBTYJ6aDLQivSGsHwb,BKeCeeQg2pePv9kY2MCKMh6HnGDo5oQ2AiRntZLUFvfJ,252,2021-08-31 04:00,CduMjFZLBeg3A9wMP3hQCoU1RQzzCpgSvQNXfCi1GCSB,external,main,11.0,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,free,Minted by an outside wallet 11.0h before public sale; NOT a team premint. Core still in a team wallet (team-treasury).
8BAucwPrgU3ohkzteVyoqesJPk88n6wGDLbNF8XS9Egd,G4kLpWjAtu5LN9QvgCeKSCNaWUuahHFbCLkHTPuYSBN2,416,2021-08-31 04:01,44kiGWWsSgdqPMvmqYgTS78Mx2BKCWzduATkfY4biU97,external,main,11.0,CLJBHLmDz5NNUmRS6LhMTLk99MWKoiBarnTSiVE2SiBt,CLJBHLmDz5NNUmRS6LhMTLk99MWKoiBarnTSiVE2SiBt,holder,free,Minted by an outside wallet 11.0h before public sale; NOT a team premint. Core has since left team custody.
DY5PWoJV4XSNJFKU2xRad3hChDC5pjvqQptfgntXcR8g,2UHGzeoGcz1R9khFxeusuzrpX4h1htHspuuhqunnaHnc,5899,2021-08-31 04:01,CduMjFZLBeg3A9wMP3hQCoU1RQzzCpgSvQNXfCi1GCSB,external,main,11.0,AhMqoTaPbK6FdZkvvSBLhZNYMmRXxDfQPZYitraSqQHL,AhMqoTaPbK6FdZkvvSBLhZNYMmRXxDfQPZYitraSqQHL,holder,syncspace,Minted by an outside wallet 11.0h before public sale; NOT a team premint. Core has since left team custody.
9GMBN8vJDi8TAnLaAaxi9RA4mNDmEDw9zXJtFoNfpEaR,5Jj1fo6Q7VrfChk8vHH3qt5HHoBSyDAjmrY6im7q1Xhc,4932,2021-08-31 04:09,CduMjFZLBeg3A9wMP3hQCoU1RQzzCpgSvQNXfCi1GCSB,external,main,10.8,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,free,Minted by an outside wallet 10.8h before public sale; NOT a team premint. Core still in a team wallet (team-treasury).
Hz6fiaV3VcjAgd8jLc3wSLByhYFccxpsxtrwJXofjA3a,ETxcTtVJt966tAhUr2YxJid7oVQzkgcrkjpBpwHzYZ1W,1331,2021-08-31 05:30,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,private,9.5,FrU9RKioxZ6YoF1r1NV2drBQkzAfZGNhy13TpASo6yA3,5wceam6f3i2PNykKQkomeord2dhxsmyTEaEFxVLVaegM,holder,syncspace,Team-treasury premint 9.5h before public sale via private candy machine. Core has since left team custody.
4xhvVzmQufVHBDjp4c5hDrBhAeXLmmqiPdQjEvQW3D61,5Ep15CWDRRwDFA4hdK2RX8K7beZMhUa71uPAn3r34sMf,3742,2021-08-31 05:32,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,team-treasury,private,9.5,2jcmG2MqUw3vB1MaY6j5kis97P5HDf43GM95uJqWKoB4,2jcmG2MqUw3vB1MaY6j5kis97P5HDf43GM95uJqWKoB4,holder,syncspace,Team-treasury premint 9.5h before public sale via private candy machine. Core has since left team custody.
