asset,owner
121v4xRkxAac92r8braUuakyg4yWWUNrqCsPEgS8zD1q,5k15YfLg5TmTeVUAuxpQgK4r3Dzuu9ce6RwmKUdtDXYH
12Um9tKNafnVaYR9QHr3FGUyLzbt95eGVCqaFgd8B4xf,D8iwNWsfRkg6oNy7AyTevRxNPGUKZZ2oixoqLiinSSor
12ixmkWrY8QiAq4ZL9Np4SgVUoLRXTsENJHjsUbdhppm,FRcfhfbffT6qyHwQRWAJAK2PoiEQS9AEgURtXrbYexUB
12jratqV1wsECTuhAGFHGxVGn1aaKes1E1UhV4NZMbGM,auryHMdwKGnjU4ZBjtacvARm8DcAVgEzYDzzJvVFfE8
12mh6tGSnzTV2isDoB16FMLRMpwt938hZvxYpWMYKPRb,DZhVxDhoQ8cXLQm2GRAKTpLFNPvLY6DBUb22q8fkFwwL
12qsjStrK7d2u4GC4fXYxk2jU9VubsfmJ25uUtUvBxJZ,8M2cKx7ZxpWUh9gVHonxESLHpj6W9hiXUyrMFpNBGgKh
12v1DZjsKqeek1DGcGJFSdJKhYYBPL9LzuoYZe2h2wQA,AEaMxfnmSPNGCfvG26r7gbKiPVcBWdqoVth2AuYyLbry
136NEHaC4xNNXCQ6wf2BiTEx9ZCGw9z426fap9hD5Ay9,3fqxQLh2LsiSoG4XAkN3snYkFzUuSxKbVhk8qEHvcZDE
13AgZMGX6WGd7mnvKksYNwWGfacoreZ59R88KTqBGxb4,Eac3cPDjGV5aVryeJvmf5nUo6SB4rjA9tqvmJqpGLmAf
13KoLMzoHpboG27GUwdDGy9t35Tk5CZZgAtCEFoqCXNi,94CsCmPP55Uo6875tEwApx8E1nZUg6dyRihrRPMQD1iM
13TcKcTjPh5yXmmkeQ67mQs1M2QEVSxFKpwM5zfR4ro6,88gNHWScPbq75QunYtRi84YqvKwJZ1cjmqrF7chp8VXo
13oApnn94qXbUzhMipNBWmsQUx2Jdb9Gs2CVrKKzZTj1,EQp6Qks5AqdnAyDsbdQaymTwDDcC8qNEfKoS1F9ao55k
13p5vEKQxMgiEjPgeS13RYHJQu4tPGTzR8F38ifTAvMj,Fa8TzVCkeQd7ZMcGNZEvC3kvSKtxMymdv1gCVZoPexuW
13vfvZprMM3TKBiCbDo8vRVVLuZZsnQUR9HnhF8YZevM,Fzx2MEY6fuwjoL1g4Mh5D6dcxp24HEcdZ1QsrVxE5sfs
13wop6XfbpF1dBJ32DMMr5CcJAR54LudZGjvWLfo4YQU,CHPLks1fR1egupWv6BPZTC2Mokr7n2Jt4AyEKd4wvkqL
