V1Mint,CoreAsset,V1Name,CoreName,Method,V1Owner,CoreOwner,MigrationTx
7PuB1jc4rpT1FNvwbpp7sMuYs6GAVNfZinBf7JsP4f8X,9cmWuKLUCUg56PaSENnrJ5QP6sDuY1DkHt1nLE5VNMGD,Aurorian #27,Aurorian #27,trace,6erKQrjX85WFqyMmHK1WW6ss6gm8rAY4DX4SfjFbdv4y,6erKQrjX85WFqyMmHK1WW6ss6gm8rAY4DX4SfjFbdv4y,HYJ6iboK2rwbv2VHhNiLXCXJot8zJe8XsWYMGA9hirKKzCQKABff2kVsw8CYjJ4hCLVpZkjxiBRZZ4etyB19zA2
J4Y2dtEQaaRjwxgfq9jgnBqwZGLgSAuJr9epVfkSWDYc,DUM6SkQJT69sszK7Zh5cngpL5g8HsCP8i9m1nA4p9znJ,Aurorian #221,Aurorian #221,trace,jShGdWowkmMQDQbfaYhNT85YV9PZ4NJEioJcgH87DPF,jShGdWowkmMQDQbfaYhNT85YV9PZ4NJEioJcgH87DPF,48PkqLiC1n516cBAiFhng6Up2NmjmJ6rSHwJGHdDc575kQqAb4jNfUy4JpQ7Liz2JqLpA1aBX9PKNGqfRC7mc9Ps
A1Zg7j25zvjZCEdXCUxxrrF9Epzt6iHaqjs8QKEQHtYb,33AmMhHn6jLVW1U1xtfKD2y4CmDNFD2FjGK4q5tVUyp1,Aurorian #234,Aurorian #234,trace,Cmj53MLXCbusTm2ahv7mPFm6UcfZqPMQrhw1ihdGtQWg,Cmj53MLXCbusTm2ahv7mPFm6UcfZqPMQrhw1ihdGtQWg,jobwPbAXe6ozq6FWKzMuwBE26dPvAtLcLVQEMV9Fxb9naooaZTRJCZFiVm4M23RD1WXWiyANSZXYRSjYxqogPSJ
3HbuU6gtAbfGaMZHYvctNvSZspUBTYJ6aDLQivSGsHwb,BKeCeeQg2pePv9kY2MCKMh6HnGDo5oQ2AiRntZLUFvfJ,Aurorian #252,Aurorian #252,trace,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,4Thk8VFSm2a83NF3919pGp3uQz5CDCRcEHj7smyBjf44bPaWqMmu6vxSwkTxAo5dEktxQYXWutuPcmKRT5YACBJX
CJFpxu54MYoAm7BeQ4WA9xCVqYctKjPzff7vw5F2oqDv,4hb1xqjVnwvbGhiFGQ5HyhgkhUqv5ZrUbwQyhmx9Wfur,Aurorian #308,Aurorian #308,trace,j5mc9g7wByMs3ShaVXMfkvA6mPK3wQoHLMqR7XVRVcX,De6xFAFpLRmrwfBRFZGNsKQ9bSrmeENShx3Qm9YhikVX,5vYD7U4Bhg5mv1hc3F1XxS6sWJSvWnWGjLFjXVsjxHmwVNuLYKWnX8rFFBT2Qn6G1Tn53EGgE3e7N7gm5u8qpM39
8BAucwPrgU3ohkzteVyoqesJPk88n6wGDLbNF8XS9Egd,G4kLpWjAtu5LN9QvgCeKSCNaWUuahHFbCLkHTPuYSBN2,Aurorian #416,Aurorian #416,trace,CLJBHLmDz5NNUmRS6LhMTLk99MWKoiBarnTSiVE2SiBt,CLJBHLmDz5NNUmRS6LhMTLk99MWKoiBarnTSiVE2SiBt,4eD22bWp29xiYv4WxZQVW3bdznyW3au9T1PnZ9dp6b5yaQ76AW3qMYsFS3Rmrr6gzRAsy8vb3TWEvDqxLMsPo3Zw
DY5PWoJV4XSNJFKU2xRad3hChDC5pjvqQptfgntXcR8g,2UHGzeoGcz1R9khFxeusuzrpX4h1htHspuuhqunnaHnc,Aurorian #5899,Aurorian #5899,trace,AhMqoTaPbK6FdZkvvSBLhZNYMmRXxDfQPZYitraSqQHL,AhMqoTaPbK6FdZkvvSBLhZNYMmRXxDfQPZYitraSqQHL,5Kvn6vkfNhGGy5prGjRmxuJE3kqq5WX1qv88YBhfLsnNrFtvuP1ietMS4n9tTi5GfSToHgeMsqvifhrvmA1BtJfm
9GMBN8vJDi8TAnLaAaxi9RA4mNDmEDw9zXJtFoNfpEaR,5Jj1fo6Q7VrfChk8vHH3qt5HHoBSyDAjmrY6im7q1Xhc,Aurorian #4932,Aurorian #4932,trace,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,aury7LJUae7a92PBo35vVbP61GX8VbyxFKausvUtBrt,RiFtW6qiNW4d4WVXsxngp4NMNdULF5XdWZ9tyHrCUdFF3AwYxuTEm7uWtc9c4515qg7tJDHWmS5aqie7ttCYt48
Hz6fiaV3VcjAgd8jLc3wSLByhYFccxpsxtrwJXofjA3a,ETxcTtVJt966tAhUr2YxJid7oVQzkgcrkjpBpwHzYZ1W,Aurorian #1331,Aurorian #1331,trace,FrU9RKioxZ6YoF1r1NV2drBQkzAfZGNhy13TpASo6yA3,5wceam6f3i2PNykKQkomeord2dhxsmyTEaEFxVLVaegM,4FEUtyxDSKw6t2UDf75EYoa1mXWy8Hs9EA23nnXBXBigWqswHbvmYMe7teSuvUi77LKgo56D68zs3rkS2qyDpiSA
4xhvVzmQufVHBDjp4c5hDrBhAeXLmmqiPdQjEvQW3D61,5Ep15CWDRRwDFA4hdK2RX8K7beZMhUa71uPAn3r34sMf,Aurorian #3742,Aurorian #3742,trace,2jcmG2MqUw3vB1MaY6j5kis97P5HDf43GM95uJqWKoB4,2jcmG2MqUw3vB1MaY6j5kis97P5HDf43GM95uJqWKoB4,3inuwWzFEmP6oxwQN9yVDr3eMMGBHnS3tS17XpfC1vs9VFV4jkyeAucSHGYME9pfmWWAoHDr3acSuzJGzesuFWxD
